Note,Length,Starting_Frame
D2♭,12,6306
D2♭,16,6319
D2♭,8,6336
D2♭,16,6526
D2♭,7,6569
D2♭,12,6582
D2♭,16,6595
D2♭,8,6612
D2♭,16,6803
D2♭,7,6846
D2♭,11,6859
D2♭,16,6872
D2♭,7,6889
D2♭,33,7080
D2♭,7,7123
D2♭,11,7136
D2♭,33,7149
D3,4,257
D3,17,274
D3,4,331
D3,17,344
D3,25,370
D3,4,396
D3,8,413
D3,8,422
D3,8,456
D3,4,469
D3,8,482
D3,8,491
D3,4,525
D3,4,534
D3,25,543
D3,8,595
D3,4,608
D3,17,621
D3,25,647
D3,3,673
D3,17,690
D3,8,733
D3,4,746
D3,8,759
D3,8,768
D3,4,789
D3,13,801
D3,25,819
D3,8,871
D3,4,884
D3,16,897
D3,4,948
D3,17,966
D3,4,1022
D3,8,1035
D3,8,1044
D3,12,1057
D3,8,1070
D3,4,1087
D3,17,1104
D3,4,1160
D3,17,1173
D3,4,1225
D3,17,1243
D3,4,1299
D3,8,1312
D3,8,1321
D3,12,1334
D3,8,1347
D3,4,1364
D3,8,1381
D3,51,1390
D3,8,1494
D3,8,1770
D3,8,2047
D3,30,2307
D3,17,2359
D3,8,2385
D3,4,2394
D3,4,2406
D3,25,2419
D3,17,2453
D3,3,2471
D3,17,2479
D3,16,2497
D3,8,2531
D3,4,2544
D3,47,2566
D3,17,2635
D3,8,2661
D3,8,2670
D3,4,2683
D3,17,2704
D3,8,2730
D3,12,2739
D3,8,2756
D3,17,2773
D3,4,2821
D3,4,2886
D3,4,2959
D3,21,2994
D3,4,3024
D3,4,3098
D3,4,3163
D3,4,3235
D3,21,3270
D3,4,3300
D3,43,3335
D3,8,3430
D3,8,3707
D3,8,3984
D3,8,4260
D3,8,4537
D3,8,4813
D3,51,5090
D3,52,5280
D3,8,5367
D3,9,5642
D3,9,5919
D3,9,6197
D3,9,6473
D3,8,6750
D3,34,7027
D3,17,7062
D3,69,7216
D3♭,3,327
D3♭,4,335
D3♭,4,465
D3♭,3,474
D3♭,8,586
D3♭,3,604
D3♭,4,612
D3♭,3,742
D3♭,3,751
D3♭,8,862
D3♭,3,880
D3♭,4,888
D3♭,3,1018
D3♭,3,1027
D3♭,4,1156
D3♭,3,1165
D3♭,3,1295
D3♭,3,1304
D3♭,42,1399
D3♭,8,1563
D3♭,8,1839
D3♭,8,2117
D3♭,17,2134
D3♭,16,2152
D3♭,34,2169
D3♭,3,2402
D3♭,4,2410
D3♭,7,2523
D3♭,3,2540
D3♭,3,2549
D3♭,8,2557
D3♭,3,2679
D3♭,4,2687
D3♭,3,2817
D3♭,3,2826
D3♭,4,2955
D3♭,3,2964
D3♭,3,3094
D3♭,3,3103
D3♭,4,3231
D3♭,3,3240
D3♭,43,3335
D3♭,7,3500
D3♭,7,3777
D3♭,7,4053
D3♭,16,4070
D3♭,16,4087
D3♭,34,4104
D3♭,8,4329
D3♭,16,4347
D3♭,16,4364
D3♭,34,4381
D3♭,8,4606
D3♭,8,4882
D3♭,34,5159
D3♭,16,5194
D3♭,17,5228
D3♭,16,5246
D3♭,8,5436
D3♭,8,5712
D3♭,8,5989
D3♭,17,6006
D3♭,16,6024
D3♭,33,6042
D3♭,8,6267
D3♭,34,6284
D3♭,34,6319
D3♭,8,6543
D3♭,7,6820
D3♭,16,7097
D3♭,16,7114
D3♭,17,7131
D3♭,16,7166
D3♭,17,7183
D4,8,413
D4,8,690
D4,8,966
D4,4,1026
D4,8,1031
D4,17,1165
D4,8,1243
D4,4,1303
D4,8,1308
D4,4,1502
D4,4,1511
D4,25,1520
D4,4,1550
D4,8,1563
D4,16,1572
D4,8,1589
D4,28,1598
D4,8,1631
D4,8,1657
D4,25,1692
D4,25,1718
D4,12,1744
D4,4,1778
D4,4,1787
D4,25,1796
D4,4,1826
D4,25,1839
D4,38,1865
D4,8,1908
D4,8,1934
D4,25,1969
D4,17,1995
D4,42,2021
D4,43,2073
D4,8,2212
D4,25,2221
D4,13,2255
D4,12,2273
D4,17,2290
D4,9,2350
D4,9,2626
D4,8,2817
D4,17,2843
D4,8,2903
D4,12,2964
D4,4,3102
D4,12,3107
D4,8,3180
D4,12,3240
D4,4,3439
D4,4,3447
D4,8,3456
D4,17,3465
D4,4,3486
D4,17,3499
D4,25,3517
D4,21,3543
D4,8,3569
D4,8,3595
D4,8,3629
D4,25,3638
D4,30,3664
D4,4,3716
D4,4,3724
D4,8,3733
D4,17,3742
D4,4,3763
D4,17,3776
D4,25,3794
D4,16,3820
D4,4,3837
D4,8,3846
D4,9,3871
D4,8,3906
D4,25,3915
D4,8,3941
D4,43,3958
D4,8,4009
D4,25,4018
D4,8,4044
D4,17,4147
D4,17,4165
D4,12,4191
D4,13,4208
D4,17,4225
D4,34,4243
D4,8,4286
D4,25,4295
D4,8,4321
D4,17,4424
D4,17,4442
D4,12,4468
D4,12,4485
D4,17,4502
D4,25,4563
D4,8,4701
D4,17,4710
D4,8,4736
D4,8,4745
D4,25,4762
D4,25,4839
D4,17,4968
D4,17,4986
D4,17,5012
D4,25,5038
D4,34,5332
D4,4,5375
D4,4,5384
D4,25,5393
D4,4,5423
D4,25,5436
D4,38,5462
D4,8,5505
D4,8,5531
D4,25,5566
D4,24,5592
D4,12,5617
D4,4,5651
D4,4,5660
D4,26,5668
D4,4,5699
D4,25,5712
D4,38,5738
D4,8,5781
D4,8,5807
D4,16,5842
D4,8,5859
D4,16,5868
D4,43,5893
D4,17,5945
D4,25,5963
D4,8,6085
D4,24,6094
D4,13,6128
D4,13,6145
D4,51,6163
D4,17,6223
D4,25,6241
D4,34,6362
D4,13,6404
D4,13,6421
D4,17,6439
D4,26,6499
D4,25,6638
D4,17,6672
D4,17,6698
D4,8,6716
D4,8,6776
D4,17,6785
D4,34,6906
D4,17,6949
D4,17,6975
D4,8,6993
D4♭,12,1057
D4♭,12,1334
D4♭,7,1666
D4♭,7,1675
D4♭,7,1943
D4♭,7,1952
D4♭,7,2800
D4♭,7,2809
D4♭,7,2826
D4♭,11,2995
D4♭,11,3271
D4♭,7,3604
D4♭,8,3612
D4♭,7,3881
D4♭,8,3889
D4♭,7,4598
D4♭,7,4607
D4♭,16,4624
D4♭,16,4641
D4♭,15,4659
D4♭,7,4676
D4♭,8,4684
D4♭,7,4693
D4♭,7,4874
D4♭,7,4883
D4♭,16,4900
D4♭,16,4917
D4♭,7,4943
D4♭,7,4952
D4♭,7,5540
D4♭,7,5549
D4♭,7,5816
D4♭,7,5825
D4♭,8,6534
D4♭,7,6543
D4♭,16,6560
D4♭,16,6578
D4♭,16,6595
D4♭,8,6612
D4♭,7,6621
D4♭,7,6630
D4♭,8,6811
D4♭,7,6820
D4♭,16,6837
D4♭,16,6855
D4♭,7,6881
D4♭,7,6889
D5,8,2108
D5,8,2247
D5,8,4044
D5,8,4182
D5,9,4320
D5,8,4459
D5,8,5055
D5,8,5980
D5,10,6118
D5,8,6258
D5,8,6396
D5,8,6993
D5♭,8,1735
D5♭,7,3673
D5♭,8,5608
E1,8,1589
E1,12,1601
E1,8,1865
E1,12,1878
E1,8,2212
E1,13,2225
E1,9,3525
E1,13,3538
E1,9,3802
E1,13,3815
E1,9,4147
E1,13,4160
E1,9,4424
E1,13,4437
E1,9,4701
E1,13,4714
E1,8,4977
E1,13,4990
E1,8,5254
E1,13,5267
E1,8,5462
E1,12,5475
E1,8,5738
E1,12,5751
E1,8,6085
E1,12,6098
E1,8,6362
E1,12,6375
E1,8,6638
E1,12,6651
E1,8,6915
E1,12,6928
E1,8,7192
E1,12,7204
E2,8,1563
E2,8,1589
E2,12,1601
E2,8,1839
E2,8,1865
E2,12,1878
E2,8,2117
E2,8,2186
E2,8,2212
E2,13,2225
E2,9,3499
E2,9,3525
E2,13,3538
E2,9,3776
E2,9,3802
E2,13,3815
E2,8,4052
E2,9,4121
E2,9,4147
E2,13,4160
E2,8,4329
E2,9,4398
E2,9,4424
E2,13,4437
E2,8,4606
E2,9,4675
E2,9,4701
E2,13,4714
E2,8,4882
E2,8,4951
E2,8,4977
E2,13,4990
E2,34,5159
E2,16,5194
E2,34,5228
E2,13,5267
E2,8,5436
E2,8,5462
E2,12,5475
E2,8,5712
E2,8,5738
E2,12,5751
E2,8,5989
E2,9,6058
E2,8,6085
E2,12,6098
E2,8,6267
E2,8,6336
E2,8,6362
E2,12,6375
E2,9,6542
E2,8,6612
E2,8,6638
E2,12,6651
E2,9,6819
E2,8,6889
E2,8,6915
E2,12,6928
E2,17,7096
E2,34,7114
E2,25,7166
E2,8,7192
E2,12,7204
E3,34,2134
E3,34,2169
E3,16,4070
E3,51,4087
E3,17,4346
E3,51,4364
E3,17,5263
E3,34,6006
E3,33,6042
E3,34,6284
E3,34,6319
E3,16,7200
E4,4,961
E4,4,1013
E4,8,1018
E4,12,1152
E4,4,1238
E4,4,1290
E4,8,1295
E4,8,1666
E4,8,1943
E4,8,2012
E4,17,2117
E4,4,2285
E4,4,2899
E4,12,2951
E4,4,3089
E4,8,3094
E4,12,3227
E4,8,3603
E4,8,3880
E4,9,3949
E4,17,4052
E4,4,4221
E4,17,4329
E4,4,4498
E4,8,4615
E4,8,4753
E4,8,4891
E4,8,4960
E4,8,5029
E4,8,5540
E4,8,5816
E4,8,5885
E4,17,5989
E4,4,6158
E4,17,6267
E4,4,6434
E4,8,6551
E4,8,6690
E4,8,6828
E4,9,6897
E4,8,6967
G1,17,231
G1,8,292
G1,17,370
G1,9,430
G1,17,508
G1,8,569
G1,17,647
G1,8,707
G1,16,785
G1,8,845
G1,17,922
G1,8,983
G1,17,1061
G1,8,1122
G1,17,1199
G1,8,1260
G1,17,1338
G1,17,1476
G1,17,1752
G1,18,2029
G1,17,2307
G1,8,2368
G1,17,2445
G1,8,2505
G1,17,2583
G1,8,2644
G1,17,2721
G1,8,2782
G1,17,2860
G1,8,2921
G1,17,2998
G1,8,3059
G1,17,3137
G1,8,3197
G1,17,3274
G1,17,3413
G1,17,3690
G1,17,3967
G1,17,4243
G1,17,4519
G1,16,4796
G1,35,5072
G1,17,5349
G1,17,5625
G1,17,5902
G1,17,6180
G1,17,6456
G1,17,6733
G1,34,7010
G2,4,266
G2,8,318
G2,4,339
G2,4,404
G2,8,456
G2,4,478
G2,4,543
G2,8,595
G2,4,616
G2,4,681
G2,8,733
G2,4,755
G2,4,819
G2,8,871
G2,4,892
G2,4,957
G2,8,1009
G2,4,1031
G2,3,1096
G2,9,1147
G2,4,1169
G2,4,1234
G2,8,1286
G2,4,1308
G2,3,1373
G2,8,1494
G2,8,1563
G2,8,1770
G2,8,1839
G2,8,2047
G2,8,2117
G2,8,2186
G2,4,2342
G2,8,2394
G2,4,2414
G2,4,2479
G2,8,2531
G2,4,2553
G2,4,2618
G2,8,2670
G2,4,2691
G2,4,2756
G2,8,2808
G2,4,2830
G2,4,2895
G2,9,2946
G2,4,2968
G2,4,3033
G2,8,3085
G2,4,3107
G2,3,3172
G2,9,3222
G2,4,3244
G2,4,3309
G2,8,3430
G2,9,3499
G2,8,3707
G2,9,3776
G2,8,3984
G2,8,4052
G2,9,4121
G2,8,4260
G2,8,4329
G2,9,4398
G2,8,4537
G2,8,4606
G2,9,4675
G2,8,4813
G2,8,4882
G2,8,4951
G2,34,5090
G2,51,5159
G2,34,5228
G2,17,5263
G2,8,5367
G2,8,5436
G2,9,5642
G2,8,5712
G2,9,5919
G2,8,5989
G2,9,6058
G2,9,6197
G2,8,6267
G2,8,6336
G2,8,6473
G2,9,6542
G2,8,6612
G2,8,6750
G2,9,6819
G2,8,6889
G2,34,7027
G2,17,7096
G2,34,7114
G2,50,7166
G2♭,7,1632
G2♭,7,1701
G2♭,7,1909
G2♭,7,1978
G2♭,7,2256
G2♭,8,3569
G2♭,8,3638
G2♭,7,3846
G2♭,8,3915
G2♭,8,4191
G2♭,8,4468
G2♭,7,4745
G2♭,7,5021
G2♭,16,5125
G2♭,7,5506
G2♭,7,5575
G2♭,7,5782
G2♭,7,5851
G2♭,7,6129
G2♭,7,6405
G2♭,7,6682
G2♭,8,6958
G2♭,16,7062
G2♭,12,7217
G2♭,12,7230
G2♭,12,7243
G2♭,12,7256
G2♭,16,7269
G3,4,443
G3,4,512
G3,17,595
G3,17,629
G3,4,720
G3,16,871
G3,17,905
G3,8,983
G3,8,992
G3,8,1005
G3,8,1018
G3,8,1031
G3,16,1122
G3,8,1143
G3,8,1156
G3,13,1169
G3,8,1260
G3,8,1269
G3,8,1282
G3,8,1295
G3,8,1308
G3,43,1398
G3,34,1459
G3,8,1589
G3,8,1865
G3,34,2134
G3,43,2169
G3,17,2531
G3,17,2566
G3,16,2921
G3,8,2942
G3,8,2955
G3,8,2968
G3,8,3059
G3,8,3068
G3,8,3081
G3,8,3094
G3,12,3107
G3,16,3197
G3,8,3218
G3,8,3231
G3,8,3244
G3,43,3335
G3,34,3396
G3,9,3525
G3,8,3802
G3,16,4070
G3,51,4087
G3,8,4139
G3,17,4346
G3,51,4364
G3,8,4416
G3,8,5462
G3,8,5738
G3,34,6006
G3,41,6042
G3,34,6284
G3,42,6319
G3♭,8,413
G3♭,16,422
G3♭,16,491
G3♭,16,561
G3♭,8,621
G3♭,8,690
G3♭,16,699
G3♭,7,760
G3♭,16,768
G3♭,7,828
G3♭,17,836
G3♭,7,897
G3♭,8,966
G3♭,8,1044
G3♭,8,1243
G3♭,8,1321
G3♭,16,1382
G3♭,7,2351
G3♭,7,2627
G3♭,7,2904
G3♭,7,2982
G3♭,7,3258
G3♭,16,3318
G3♭,12,5280
G3♭,12,5293
G3♭,12,5306
G3♭,12,5319
G3♭,17,5332
G4,38,923
G4,8,983
G4,8,992
G4,16,1122
G4,47,1191
G4,8,1260
G4,8,1269
G4,34,1459
G4,4,1515
G4,25,1520
G4,8,1554
G4,8,1563
G4,16,1572
G4,4,1622
G4,8,1657
G4,9,1674
G4,9,1726
G4,4,1791
G4,25,1796
G4,8,1830
G4,25,1839
G4,4,1899
G4,8,1934
G4,9,1951
G4,9,2003
G4,42,2021
G4,8,2065
G4,9,2203
G4,12,2273
G4,17,2799
G4,8,2834
G4,56,2843
G4,16,2921
G4,8,3059
G4,8,3068
G4,8,3128
G4,38,3137
G4,16,3197
G4,34,3396
G4,12,3452
G4,17,3465
G4,25,3491
G4,8,3517
G4,4,3560
G4,8,3595
G4,8,3612
G4,8,3664
G4,12,3729
G4,17,3742
G4,25,3768
G4,8,3794
G4,4,3837
G4,9,3871
G4,8,3889
G4,8,3941
G4,51,3958
G4,8,4139
G4,13,4208
G4,42,4243
G4,8,4416
G4,12,4485
G4,16,4520
G4,25,4537
G4,17,4571
G4,17,4597
G4,51,4641
G4,8,4693
G4,17,4710
G4,17,4736
G4,16,4796
G4,25,4813
G4,17,4847
G4,17,4873
G4,16,4917
G4,16,4943
G4,17,4986
G4,17,5012
G4,17,5038
G4,17,5349
G4,4,5388
G4,25,5393
G4,8,5427
G4,25,5436
G4,4,5496
G4,8,5531
G4,9,5548
G4,7,5600
G4,30,5664
G4,8,5703
G4,25,5712
G4,4,5772
G4,8,5807
G4,8,5824
G4,8,5876
G4,43,5893
G4,8,5937
G4,8,6075
G4,13,6145
G4,34,6180
G4,8,6215
G4,8,6353
G4,13,6421
G4,25,6456
G4,8,6482
G4,8,6491
G4,17,6508
G4,8,6534
G4,8,6543
G4,34,6577
G4,25,6612
G4,17,6646
G4,17,6672
G4,25,6733
G4,8,6759
G4,8,6768
G4,17,6785
G4,17,6811
G4,17,6854
G4,8,6880
G4,8,6889
G4,17,6923
G4,8,6949
G4,8,6958
G4,17,6975
G4♭,3,1001
G4♭,8,1005
G4♭,3,1139
G4♭,7,1144
G4♭,7,1183
G4♭,3,1278
G4♭,8,1282
G4♭,3,2938
G4♭,7,2943
G4♭,3,3077
G4♭,8,3081
G4♭,8,3120
G4♭,3,3214
G4♭,7,3219
